id,nome,regiao,umidade,velocidade_vento,temperatura,nivel_fumaca,nivel_risco,data_medicao,latitude,longitude,estado
1,Foco #1,Cerrado,20,9.4,31.4,30,baixo,2025-03-10 00:00:00+00,-78951,-435155,PIAUÍ
2,Foco #2,Amazônia,54,5.9,33.6,87,critico,2025-03-10 00:00:00+00,-45712,-465022,MARANHÃO
3,Foco #3,Cerrado,44,15.8,39.2,60,baixo,2025-03-10 00:00:00+00,-60605,-446061,MARANHÃO
4,Foco #4,Cerrado,50,6.8,31.2,73,baixo,2025-03-10 00:00:00+00,-126131,-469725,TOCANTINS
5,Foco #5,Pantanal,23,8.8,37,70,baixo,2025-03-10 00:00:00+00,-178812,-576206,MATO GROSSO DO SUL
6,Foco #6,Cerrado,58,7.4,39.1,72,medio,2025-03-10 00:00:00+00,-148937,-469718,GOIÁS
7,Foco #7,Cerrado,23,11,43.5,90,baixo,2025-03-10 00:00:00+00,-62406,-45365,MARANHÃO
8,Foco #8,Pantanal,21,24.5,42.2,75,alto,2025-03-10 00:00:00+00,-178614,-57623,MATO GROSSO DO SUL
9,Foco #9,Cerrado,53,10.3,31.7,35,alto,2025-03-10 00:00:00+00,-58657,-433981,MARANHÃO
10,Foco #10,Cerrado,34,19.2,37.5,94,alto,2025-03-10 00:00:00+00,-56174,-439272,MARANHÃO
11,Foco #11,Caatinga,47,20,44.1,42,alto,2025-03-10 00:00:00+00,-111631,-434054,BAHIA
12,Foco #12,Cerrado,21,8.8,36.3,71,medio,2025-03-10 00:00:00+00,-47895,-446022,MARANHÃO
13,Foco #13,Amazônia,54,7.6,40.9,96,medio,2025-03-10 00:00:00+00,-86324,-549747,PARÁ
14,Foco #14,Cerrado,22,14.6,42.1,65,medio,2025-03-10 00:00:00+00,-72578,-484699,TOCANTINS
15,Foco #15,Cerrado,49,14.3,34,37,alto,2025-03-10 00:00:00+00,-126327,-469471,TOCANTINS
16,Foco #16,Pantanal,60,17.6,41.3,42,medio,2025-03-10 00:00:00+00,-178617,-576024,MATO GROSSO DO SUL
17,Foco #17,Cerrado,37,16.4,31.3,45,alto,2025-03-10 00:00:00+00,-58469,-433995,MARANHÃO
18,Foco #18,Amazônia,52,12.6,36.2,71,alto,2025-03-10 00:00:00+00,-86139,-549558,PARÁ
19,Foco #19,Amazônia,21,13.7,40.5,68,critico,2025-03-10 00:00:00+00,-46504,-458077,MARANHÃO
20,Foco #20,Cerrado,53,8.7,31.1,77,baixo,2025-03-10 00:00:00+00,-149342,-468965,GOIÁS
21,Foco #21,Cerrado,46,14.8,36.6,54,alto,2025-03-10 00:00:00+00,-13767,-480553,GOIÁS
22,Foco #22,Cerrado,50,6.4,39.5,60,alto,2025-03-10 00:00:00+00,-56361,-439258,MARANHÃO
23,Foco #23,Cerrado,31,21.8,39.3,32,alto,2025-03-10 00:00:00+00,-5655,-439013,MARANHÃO
24,Foco #24,Cerrado,58,20.9,41.5,76,medio,2025-03-10 00:00:00+00,-137666,-480777,GOIÁS
25,Foco #25,Cerrado,41,18.2,44.1,37,medio,2025-03-10 00:00:00+00,-14827,-492893,GOIÁS
26,Foco #26,Cerrado,57,5.4,36.1,68,baixo,2025-03-10 00:00:00+00,-58467,-434229,MARANHÃO
27,Foco #27,Cerrado,38,12.7,43.6,46,alto,2025-03-10 00:00:00+00,-60603,-44629,MARANHÃO
28,Foco #28,Amazônia,29,15.9,43.7,70,medio,2025-03-10 00:00:00+00,-46692,-457842,MARANHÃO
29,Foco #29,Cerrado,20,7.3,34.1,56,baixo,2025-03-10 00:00:00+00,-62596,-45341,MARANHÃO
30,Foco #30,Cerrado,27,22.8,39,94,alto,2025-03-10 00:00:00+00,-149132,-469684,GOIÁS
31,Foco #31,Cerrado,25,11.9,32.8,45,critico,2025-03-10 00:00:00+00,-149603,-475047,GOIÁS
32,Foco #32,Cerrado,26,13.3,36.5,50,baixo,2025-03-10 00:00:00+00,-126323,-469697,TOCANTINS
33,Foco #33,Caatinga,21,19.1,44.7,57,critico,2025-03-10 00:00:00+00,-111252,-433874,BAHIA
34,Foco #34,Caatinga,44,17.4,41,78,medio,2025-03-10 00:00:00+00,-99365,-437657,PIAUÍ
35,Foco #35,Caatinga,25,19.3,31.9,37,critico,2025-03-10 00:00:00+00,-99178,-437447,PIAUÍ
36,Foco #36,Cerrado,42,10.6,33,90,critico,2025-03-10 00:00:00+00,-60418,-446076,MARANHÃO
